Tabela 1.3.7.1 - Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e os nível de instrução - 2015;;;;;;;Tabela 1.3.7.2 - Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal, por Grandes Regiões, segundo o sexo e o nível de instrução - 2015

Sexo e nível de instrução;Pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (1000 pessoas);;;;;;Sexo e nível de instrução;Distribuição das pessoas de 10 anos ou mais de idade que não tinham telefone móvel celular para uso pessoal (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Total;100,0;100,0;100,0;100,0;100,0;100,0
Sem instrução;  8 973;   853;  4 482;  2 471;   761;   406;Sem instrução;23,2;18,7;30,4;18,8;17,2;23,2
Fundamental incompleto;  21 638;  2 716;  7 820;  7 393;  2 706;  1 005;Fundamental incompleto;56,1;59,5;53,1;56,2;61,2;57,4
Fundamental completo;  2 764;   324;   816;  1 146;   363;   115;Fundamental completo;7,2;7,1;5,5;8,7;8,2;6,6
Médio incompleto;  1 412;   248;   547;   439;   112;   65;Médio incompleto;3,7;5,4;3,7;3,3;2,5;3,7
Médio completo;  3 020;   347;   882;  1 310;   358;   124;Médio completo;7,8;7,6;6,0;10,0;8,1;7,1
Superior incompleto;   197;   22;   54;   79;   32;   11;Superior incompleto;0,5;0,5;0,4;0,6;0,7;0,6
Superior completo;   529;   36;   92;   298;   81;   22;Superior completo;1,4;0,8;0,6;2,3;1,8;1,3
Não determinado;   66;   20;   28;   7;   8;   3;Não determinado;0,2;0,4;0,2;0,1;0,2;0,2
Homens;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Sem instrução;  4 391;   466;  2 396;  1 027;   312;   191;Sem instrução;23,0;19,1;31,6;16,7;15,1;22,1
Fundamental incompleto;  11 017;  1 486;  4 121;  3 596;  1 294;   519;Fundamental incompleto;57,7;60,9;54,3;58,5;62,6;60,2
Fundamental completo;  1 324;   172;   387;   520;   188;   57;Fundamental completo;6,9;7,0;5,1;8,5;9,1;6,6
Médio incompleto;   717;   123;   268;   235;   57;   33;Médio incompleto;3,8;5,0;3,5;3,8;2,8;3,9
Médio completo;  1 336;   161;   351;   608;   165;   52;Médio completo;7,0;6,6;4,6;9,9;8,0;6,0
Superior incompleto;   87;   10;   18;   40;   16;   3;Superior incompleto;0,5;0,4;0,2;0,6;0,8;0,4
Superior completo;   206;   15;   30;   124;   30;   8;Superior completo;1,1;0,6;0,4;2,0;1,5;0,9
Não determinado;   29;   9;   14;   2;   4;   0;Não determinado;0,1;0,4;0,2;-;0,2;0,1
Mulheres;  19 493;  2 124;  7 134;  6 991;  2 355;   888;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Sem instrução;  4 582;   387;  2 086;  1 444;   449;   215;Sem instrução;23,5;18,2;29,2;20,7;19,1;24,2
Fundamental incompleto;  10 621;  1 229;  3 698;  3 796;  1 412;   486;Fundamental incompleto;54,5;57,9;51,8;54,3;59,9;54,7
Fundamental completo;  1 440;   152;   429;   625;   175;   59;Fundamental completo;7,4;7,2;6,0;8,9;7,4;6,6
Médio incompleto;   696;   125;   279;   204;   56;   31;Médio incompleto;3,6;5,9;3,9;2,9;2,4;3,5
Médio completo;  1 684;   185;   530;   703;   193;   72;Médio completo;8,6;8,7;7,4;10,1;8,2;8,1
Superior incompleto;   110;   12;   35;   39;   16;   8;Superior incompleto;0,6;0,6;0,5;0,6;0,7;0,9
Superior completo;   323;   21;   63;   174;   50;   15;Superior completo;1,7;1,0;0,9;2,5;2,1;1,6
Não determinado;   37;   11;   13;   6;   5;   2;Não determinado;0,2;0,5;0,2;0,1;0,2;0,3

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
