Tabela 1.3.10.1 - Pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015;;;;;;;Tabela 1.3.10.2 - Distribuição das pessoas de 10 anos ou mais de idade, por Grandes Regiões, segundo o sexo, a situação de ocupação na semana de referência e a posse de telefone móvel celular para uso pessoal - 2015

Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Pessoas de 10 anos ou mais de idade (1000 pessoas);;;;;;Sexo, situação de ocupação na semana de referência e posse de telefone móvel celular para uso pessoal;Distribuição das pessoas de 10 anos ou mais de idade (%)
;Brasil;Grandes Regiões;;;;;;Brasil;Grandes Regiões
;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;;;Norte;Nordeste;Sudeste;Sul;Centro-Oeste
Total;  177 657;  14 537;  48 410;  75 599;  25 772;  13 340;Total;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  139 057;  9 971;  33 690;  62 455;  21 350;  11 590;Possuíam;78,3;68,6;69,6;82,6;82,8;86,9
Não possuíam;  38 600;  4 566;  14 720;  13 144;  4 421;  1 750;Não possuíam;21,7;31,4;30,4;17,4;17,2;13,1
Ocupadas;  95 380;  7 559;  24 129;  41 056;  14 995;  7 642;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  83 200;  5 781;  18 945;  37 646;  13 654;  7 175;Possuíam;87,2;76,5;78,5;91,7;91,1;93,9
Não possuíam;  12 180;  1 778;  5 184;  3 409;  1 342;   467;Não possuíam;12,8;23,5;21,5;8,3;8,9;6,1
Não ocupadas;  82 276;  6 978;  24 281;  34 543;  10 777;  5 697;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  55 856;  4 191;  14 746;  24 809;  7 697;  4 415;Possuíam;67,9;60,1;60,7;71,8;71,4;77,5
Não possuíam;  26 420;  2 787;  9 536;  9 734;  3 080;  1 283;Não possuíam;32,1;39,9;39,3;28,2;28,6;22,5
Homens;  85 489;  7 281;  23 182;  36 038;  12 502;  6 487;Homens;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  66 382;  4 839;  15 596;  29 886;  10 436;  5 625;Possuíam;77,6;66,5;67,3;82,9;83,5;86,7
Não possuíam;  19 107;  2 441;  7 585;  6 152;  2 066;   862;Não possuíam;22,4;33,5;32,7;17,1;16,5;13,3
Ocupados;  54 704;  4 692;  14 128;  23 051;  8 442;  4 392;Ocupados;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  46 651;  3 438;  10 584;  20 902;  7 639;  4 088;Possuíam;85,3;73,3;74,9;90,7;90,5;93,1
Não possuíam;  8 054;  1 254;  3 544;  2 150;   802;   303;Não possuíam;14,7;26,7;25,1;9,3;9,5;6,9
Não ocupados;  30 785;  2 589;  9 054;  12 987;  4 060;  2 096;Não ocupados;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  19 732;  1 402;  5 013;  8 984;  2 797;  1 537;Possuíam;64,1;54,1;55,4;69,2;68,9;73,3
Não possuíam;  11 053;  1 187;  4 041;  4 003;  1 264;   559;Não possuíam;35,9;45,9;44,6;30,8;31,1;26,7
Mulheres;  92 167;  7 256;  25 228;  39 561;  13 270;  6 852;Mulheres;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  72 674;  5 132;  18 094;  32 569;  10 915;  5 964;Possuíam;78,9;70,7;71,7;82,3;82,3;87,0
Não possuíam;  19 493;  2 124;  7 134;  6 991;  2 355;   888;Não possuíam;21,1;29,3;28,3;17,7;17,7;13,0
Ocupadas;  40 676;  2 867;  10 001;  18 004;  6 553;  3 251;Ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  36 550;  2 343;  8 361;  16 745;  6 014;  3 087;Possuíam;89,9;81,7;83,6;93,0;91,8;95,0
Não possuíam;  4 126;   524;  1 640;  1 260;   539;   164;Não possuíam;10,1;18,3;16,4;7,0;8,2;5,0
Não ocupadas;  51 491;  4 389;  15 227;  21 556;  6 716;  3 602;Não ocupadas;100,0;100,0;100,0;100,0;100,0;100,0
Possuíam;  36 125;  2 789;  9 733;  15 825;  4 900;  2 878;Possuíam;70,2;63,5;63,9;73,4;73,0;79,9
Não possuíam;  15 367;  1 600;  5 495;  5 732;  1 816;   724;Não possuíam;29,8;36,5;36,1;26,6;27,0;20,1

Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.;;;;;;;Fonte: IBGE, Diretoria de Pesquisas, Coordenação de Trabalho e Rendimento, Pesquisa Nacional por Amostra de Domicílios 2015.
